groupSampleSegment,groupNumWorkers,groupNumVehicles,groupModeTypeBroad,trip_type,numTripRecords,sumTripWeight,numHhRecords,sumHhWeight,tripsPerHh,tripTypeLabel
TT,-1,-1,1001,6,4107,142724.73,11183,1137207.98,0.12550450973796368,Non-home-based work
TT,-1,-1,4,6,438,9122.04,11183,1137207.98,0.008021435094044979,Non-home-based work
TT,-1,-1,995,6,1325,27217.46,11183,1137207.98,0.0239335816127495,Non-home-based work
TT,-1,-1,2,6,235,7917.06,11183,1137207.98,0.006961839996937061,Non-home-based work
TT,-1,3,-1,6,5248,312185.76,1532,201878.99,1.5464004451379514,Non-home-based work
TT,-1,3,5,6,139,4964.71,1532,201878.99,0.024592504648453018,Non-home-based work
TT,-1,3,1,6,396,18881.38,1532,201878.99,0.09352820717004777,Non-home-based work
TT,-1,3,1001,6,459,21186.65,1532,201878.99,0.104947275593166,Non-home-based work
TT,-1,3,3,6,4381,280200.69,1532,201878.99,1.3879636013633714,Non-home-based work
TT,-1,3,995,6,269,5833.7,1532,201878.99,0.02889701399833633,Non-home-based work
TT,-1,3,4,6,51,2072.88,1532,201878.99,0.010267933280228915,Non-home-based work
TT,-1,3,2,6,12,232.39,1532,201878.99,0.001151135142889312,Non-home-based work
TT,3,-1,-1,6,2576,218191.22,729,109743.78,1.9881875765533137,Non-home-based work
TT,3,-1,5,6,96,1225.2,729,109743.78,0.011164186252742524,Non-home-based work
TT,3,-1,3,6,2053,198990.36,729,109743.78,1.8132267723965767,Non-home-based work
TT,3,-1,1,6,282,12642.67,729,109743.78,0.11520169981387555,Non-home-based work
TT,3,-1,1001,6,336,13482.26,729,109743.78,0.12285215617686944,Non-home-based work
TT,3,-1,995,6,91,4493.4,729,109743.78,0.04094446172712476,Non-home-based work
TT,3,-1,4,6,39,749.89,729,109743.78,0.006833097966918945,Non-home-based work
TT,3,-1,2,6,15,89.69,729,109743.78,0.0008172672747375751,Non-home-based work
TT,3,3,-1,6,1236,122933.92,250,49064.32,2.5055665705751142,Non-home-based work
TT,3,3,5,6,81,977.76,250,49064.32,0.019928126997378136,Non-home-based work
TT,3,3,1,6,98,5750.93,250,49064.32,0.11721205959850255,Non-home-based work
TT,3,3,1001,6,107,5882.78,250,49064.32,0.11989934844709964,Non-home-based work
TT,3,3,3,6,1005,113602.32,250,49064.32,2.3153754092587038,Non-home-based work
TT,3,3,995,6,43,2471.05,250,49064.32,0.050363482057837555,Non-home-based work
TT,3,3,4,6,7,97.53,250,49064.32,0.0019877988729895776,Non-home-based work
TT,3,3,2,6,2,34.32,250,49064.32,0.0006994899756075291,Non-home-based work
Ut,-1,-1,-1,6,5817,243772.56,1689,187161.0,1.3024751951528364,Non-home-based work
Ut,-1,-1,3,6,4564,208389.39,1689,187161.0,1.1134231490534887,Non-home-based work
Ut,-1,-1,5,6,93,4126.09,1689,187161.0,0.022045671908143258,Non-home-based work
Ut,-1,-1,1,6,837,27067.25,1689,187161.0,0.14462013987956893,Non-home-based work
Ut,-1,-1,1001,6,936,28923.34,1689,187161.0,0.15453721662098407,Non-home-based work
Ut,-1,-1,995,6,224,2333.74,1689,187161.0,0.012469157570220291,Non-home-based work
Ut,-1,-1,4,6,71,1107.27,1689,187161.0,0.005916136374565214,Non-home-based work
Ut,-1,-1,2,6,28,748.83,1689,187161.0,0.004000993796784587,Non-home-based work
Ut,-1,5,-1,6,196,28929.19,31,6663.48,4.341453714875711,Non-home-based work
Ut,-1,5,3,6,182,27964.2,31,6663.48,4.196635992004178,Non-home-based work
Ut,-1,5,4,6,1,921.11,31,6663.48,0.1382325751709317,Non-home-based work
Ut,-1,5,1001,6,12,965.0,31,6663.48,0.1448192235888755,Non-home-based work
Ut,-1,5,1,6,11,43.89,31,6663.48,0.006586648417943777,Non-home-based work
Ut,-1,5,995,6,2,0.0,31,6663.48,0.0,Non-home-based work
Ut,3,-1,-1,6,471,38936.49,108,20715.45,1.8795869749389946,Non-home-based work
Ut,3,-1,3,6,391,37855.29,108,20715.45,1.8273940464725602,Non-home-based work
Ut,3,-1,995,6,13,9.75,108,20715.45,0.0004706632006545839,Non-home-based work
Ut,3,-1,1,6,54,936.61,108,20715.45,0.04521311388359896,Non-home-based work
Ut,3,-1,1001,6,61,966.3,108,20715.45,0.04664634367102814,Non-home-based work
Ut,3,-1,4,6,5,17.82,108,20715.45,0.0008602275113502241,Non-home-based work
Ut,3,-1,5,6,6,105.14,108,20715.45,0.0050754388632638925,Non-home-based work
Ut,3,-1,2,6,2,11.88,108,20715.45,0.0005734850075668161,Non-home-based work
Ut,3,5,-1,6,42,2371.83,8,1015.84,2.3348460387462593,Non-home-based work
Ut,3,5,3,6,40,2327.94,8,1015.84,2.291640415813514,Non-home-based work
Ut,3,5,1,6,2,43.89,8,1015.84,0.04320562293274531,Non-home-based work
Ut,3,5,1001,6,2,43.89,8,1015.84,0.04320562293274531,Non-home-based work
WF,-1,5,-1,6,411,40687.73,92,15648.15,2.600162319507418,Non-home-based work
WF,-1,5,3,6,383,37586.03,92,15648.15,2.401947195035835,Non-home-based work
WF,-1,5,4,6,2,931.92,92,15648.15,0.059554643839687116,Non-home-based work
WF,-1,5,1001,6,21,986.61,92,15648.15,0.06304962567460051,Non-home-based work
WF,-1,5,1,6,19,54.7,92,15648.15,0.0034956208880922027,Non-home-based work
WF,-1,5,995,6,6,2095.66,92,15648.15,0.133923818470554,Non-home-based work
WF,-1,5,5,6,1,19.42,92,15648.15,0.0012410412732495536,Non-home-based work
WF,3,5,-1,6,84,3746.65,18,3260.26,1.1491874881144448,Non-home-based work
WF,3,5,3,6,80,2451.24,18,3260.26,0.7518541466018046,Non-home-based work
WF,3,5,995,6,2,1251.53,18,3260.26,0.38387429223436165,Non-home-based work
WF,3,5,1,6,2,43.89,18,3260.26,0.01346211651831449,Non-home-based work
WF,3,5,1001,6,2,43.89,18,3260.26,0.01346211651831449,Non-home-based work
TT,-1,5,-1,6,635,53030.56,167,23946.26,2.214565447798529,Non-home-based work
TT,-1,5,3,6,584,49808.61,167,23946.26,2.080016253059977,Non-home-based work
TT,-1,5,4,6,4,943.01,167,23946.26,0.03938026230400906,Non-home-based work
TT,-1,5,1001,6,36,1044.79,167,23946.26,0.04363061288067532,Non-home-based work
TT,-1,5,1,6,32,101.78,167,23946.26,0.004250350576666252,Non-home-based work
TT,-1,5,995,6,14,2157.74,167,23946.26,0.09010759926602317,Non-home-based work
TT,-1,5,5,6,1,19.42,167,23946.26,0.0008109825918535923,Non-home-based work
TT,3,5,-1,6,92,6377.67,29,5688.49,1.1211534168118429,Non-home-based work
TT,3,5,3,6,88,5082.25,29,5688.49,0.8934269023941327,Non-home-based work
TT,3,5,995,6,2,1251.53,29,5688.49,0.22001093436043662,Non-home-based work
TT,3,5,1,6,2,43.89,29,5688.49,0.0077155800572735475,Non-home-based work
TT,3,5,1001,6,2,43.89,29,5688.49,0.0077155800572735475,Non-home-based work
Sa,-1,-1,-1,6,9507,460712.82,3554,407131.71,1.1316063295585597,Non-home-based work
Sa,-1,-1,3,6,7345,386110.64,3554,407131.71,0.9483678881215123,Non-home-based work
Sa,-1,-1,5,6,237,10586.78,3554,407131.71,0.026003329487649097,Non-home-based work
Sa,-1,-1,1,6,1164,45568.36,3554,407131.71,0.11192535211762306,Non-home-based work
Sa,-1,-1,1001,6,1460,54198.75,3554,407131.71,0.13312338162016413,Non-home-based work
Sa,-1,-1,4,6,191,5535.74,3554,407131.71,0.013596926655504184,Non-home-based work
Sa,-1,-1,995,6,465,9816.65,3554,407131.71,0.02411173032923424,Non-home-based work
Sa,-1,-1,2,6,105,3094.65,3554,407131.71,0.007601102847036896,Non-home-based work
Sa,-1,1,-1,6,3321,125063.11,1354,126680.31,0.9872340066108143,Non-home-based work
Sa,-1,1,3,6,2503,105047.81,1354,126680.31,0.8292354983975015,Non-home-based work
Sa,-1,1,5,6,91,2649.96,1354,126680.31,0.020918483701216076,Non-home-based work
Sa,-1,1,1,6,449,12637.16,1354,126680.31,0.09975630782715957,Non-home-based work
Sa,-1,1,1001,6,566,15142.85,1354,126680.31,0.11953594051040765,Non-home-based work
Sa,-1,1,4,6,76,1939.8,1354,126680.31,0.015312561202289448,Non-home-based work
Sa,-1,1,995,6,161,2222.49,1354,126680.31,0.017544084001688973,Non-home-based work
Sa,-1,1,2,6,41,565.89,1354,126680.31,0.004467071480958643,Non-home-based work
Sa,1,-1,-1,6,3604,163639.28,1439,177794.48,0.9203844798781153,Non-home-based work
Sa,1,-1,3,6,2644,134485.03,1439,177794.48,0.7564072292908081,Non-home-based work
Sa,1,-1,5,6,87,2583.7,1439,177794.48,0.014531947223558345,Non-home-based work
Sa,1,-1,1,6,509,20407.39,1439,177794.48,0.1147807850952403,Non-home-based work
Sa,1,-1,1001,6,635,23262.35,1439,177794.48,0.1308384264798322,Non-home-based work
Sa,1,-1,4,6,87,2237.14,1439,177794.48,0.012582730352483383,Non-home-based work
Sa,1,-1,995,6,238,3308.21,1439,177794.48,0.018606933128632566,Non-home-based work
Sa,1,-1,2,6,39,617.82,1439,177794.48,0.0034749110321085335,Non-home-based work
Sa,1,1,-1,6,2332,102032.56,795,91184.95,1.1189627235634827,Non-home-based work
Sa,1,1,3,6,1718,85923.07,795,91184.95,0.9422944246830207,Non-home-based work
Sa,1,1,5,6,52,1721.55,795,91184.95,0.018879760311323306,Non-home-based work
Sa,1,1,1,6,336,10332.42,795,91184.95,0.11331277804067448,Non-home-based work
Sa,1,1,1001,6,414,12375.67,795,91184.95,0.13572053282915658,Non-home-based work
Sa,1,1,4,6,51,1584.6,795,91184.95,0.017377867729268918,Non-home-based work
Sa,1,1,995,6,148,2012.27,795,91184.95,0.02206800573998231,Non-home-based work
Sa,1,1,2,6,27,458.66,795,91184.95,0.005029996726433474,Non-home-based work
WF,-1,1,-1,6,5660,221276.63,2288,233331.0,0.9483378976646909,Non-home-based work
WF,-1,1,3,6,4350,184819.63,2288,233331.0,0.7920920494919235,Non-home-based work
WF,-1,1,5,6,123,3131.34,2288,233331.0,0.013420162773056302,Non-home-based work
WF,-1,1,1,6,767,23821.47,2288,233331.0,0.10209303521606646,Non-home-based work
WF,-1,1,1001,6,943,26693.27,2288,233331.0,0.11440087258015437,Non-home-based work
WF,-1,1,4,6,120,2151.01,2288,233331.0,0.009218706472779014,Non-home-based work
WF,-1,1,995,6,244,6632.39,2288,233331.0,0.028424812819556767,Non-home-based work
WF,-1,1,2,6,56,720.79,2288,233331.0,0.003089130891308913,Non-home-based work
WF,1,-1,-1,6,6656,307845.01,2622,347533.36,0.8857998840744382,Non-home-based work
WF,1,-1,3,6,5035,250168.24,2622,347533.36,0.7198394997245732,Non-home-based work
WF,1,-1,5,6,144,5154.61,2622,347533.36,0.014831986201267125,Non-home-based work
WF,1,-1,1,6,922,40940.45,2622,347533.36,0.11780293552250638,Non-home-based work
WF,1,-1,1001,6,1093,43994.5,2622,347533.36,0.12659072498824286,Non-home-based work
WF,1,-1,4,6,122,2401.48,2622,347533.36,0.006910070446186807,Non-home-based work
WF,1,-1,995,6,384,8527.66,2622,347533.36,0.024537673160355024,Non-home-based work
WF,1,-1,2,6,49,652.58,2622,347533.36,0.0018777477937657555,Non-home-based work
WF,1,1,-1,6,3794,169052.8,1264,165286.7,1.022785257374005,Non-home-based work
WF,1,1,3,6,2911,140866.48,1264,165286.7,0.8522553841295155,Non-home-based work
WF,1,1,5,6,74,2066.54,1264,165286.7,0.012502760355188892,Non-home-based work
WF,1,1,1,6,505,19907.66,1264,165286.7,0.12044320565417543,Non-home-based work
WF,1,1,1001,6,614,22060.12,1264,165286.7,0.13346579004844308,Non-home-based work
WF,1,1,4,6,76,1666.49,1264,165286.7,0.010082420424631866,Non-home-based work
WF,1,1,995,6,195,4059.66,1264,165286.7,0.02456132284085773,Non-home-based work
WF,1,1,2,6,33,485.96,1264,165286.7,0.0029401034687001433,Non-home-based work
TT,-1,1,-1,6,7722,300247.65,3793,330240.68,0.9091782696183888,Non-home-based work
TT,-1,1,3,6,5778,250466.7,3793,330240.68,0.7584368467264542,Non-home-based work
TT,-1,1,5,6,210,3504.29,3793,330240.68,0.010611321415641466,Non-home-based work
TT,-1,1,1,6,1131,34068.74,3793,330240.68,0.10316336557931022,Non-home-based work
TT,-1,1,1001,6,1395,38358.64,3793,330240.68,0.11615358834653562,Non-home-based work
TT,-1,1,4,6,168,2575.89,3793,330240.68,0.00780003844468828,Non-home-based work
TT,-1,1,995,6,339,7918.02,3793,330240.68,0.023976513129757366,Non-home-based work
TT,-1,1,2,6,96,1714.01,3793,330240.68,0.005190184322537127,Non-home-based work
TT,1,-1,-1,6,10246,483285.82,4043,467915.47,1.0328485613010403,Non-home-based work
TT,1,-1,3,6,7878,392395.08,4043,467915.47,0.8386024937367428,Non-home-based work
TT,1,-1,5,6,325,17088.65,4043,467915.47,0.036520805777163136,Non-home-based work
TT,1,-1,1,6,1264,57007.89,4043,467915.47,0.12183373633703541,Non-home-based work
TT,1,-1,1001,6,1523,62128.15,4043,467915.47,0.13277643930003,Non-home-based work
TT,1,-1,4,6,182,3540.6,4043,467915.47,0.007566751319421006,Non-home-based work
TT,1,-1,995,6,520,11673.94,4043,467915.47,0.024948822487104352,Non-home-based work
TT,1,-1,2,6,77,1579.65,4043,467915.47,0.0033759302721921122,Non-home-based work
TT,1,1,-1,6,5007,226848.89,1853,206738.63,1.097273837985673,Non-home-based work
TT,1,1,3,6,3795,190216.78,1853,206738.63,0.9200833922523333,Non-home-based work
TT,1,1,5,6,149,2283.5,1853,206738.63,0.01104534745151402,Non-home-based work
TT,1,1,1,6,673,26373.06,1853,206738.63,0.12756716052534545,Non-home-based work
TT,1,1,1001,6,821,29050.67,1853,206738.63,0.14051882804872992,Non-home-based work
TT,1,1,4,6,105,1819.47,1853,206738.63,0.008800822565187744,Non-home-based work
TT,1,1,995,6,242,5297.94,1853,206738.63,0.025626270233095768,Non-home-based work
TT,1,1,2,6,43,858.14,1853,206738.63,0.004150844958196734,Non-home-based work
Sa,-1,2,-1,6,3695,186947.4,1370,166890.43,1.1201804681071288,Non-home-based work
Sa,-1,2,3,6,2847,150450.15,1370,166890.43,0.9014905767814247,Non-home-based work
Sa,-1,2,5,6,83,5249.57,1370,166890.43,0.03145518889249671,Non-home-based work
Sa,-1,2,1,6,462,23980.07,1370,166890.43,0.14368750802547517,Non-home-based work
Sa,-1,2,1001,6,556,26498.42,1370,166890.43,0.15877734870717272,Non-home-based work
Sa,-1,2,995,6,209,4749.26,1370,166890.43,0.028457353726034505,Non-home-based work
Sa,-1,2,4,6,57,1126.23,1370,166890.43,0.006748319840748209,Non-home-based work
Sa,-1,2,2,6,37,1392.12,1370,166890.43,0.008341520840949359,Non-home-based work
Sa,2,-1,-1,6,4373,197228.13,1115,129432.29,1.523793869365983,Non-home-based work
Sa,2,-1,5,6,119,6001.09,1115,129432.29,0.04636470543787798,Non-home-based work
Sa,2,-1,1,6,509,19647.53,1115,129432.29,0.1517977469146223,Non-home-based work
Sa,2,-1,1001,6,635,24732.94,1115,129432.29,0.19108786532325125,Non-home-based work
Sa,2,-1,3,6,3449,162744.0,1115,129432.29,1.2573678484711968,Non-home-based work
Sa,2,-1,4,6,72,2690.58,1115,129432.29,0.020787548454871657,Non-home-based work
Sa,2,-1,995,6,170,3750.09,1115,129432.29,0.02897337287318335,Non-home-based work
Sa,2,-1,2,6,54,2394.83,1115,129432.29,0.01850256995375729,Non-home-based work
Sa,2,2,-1,6,2531,121280.42,661,76813.52,1.5788941842529804,Non-home-based work
Sa,2,2,5,6,58,4629.69,661,76813.52,0.06027181152484614,Non-home-based work
Sa,2,2,3,6,1982,97835.21,661,76813.52,1.2736717442450236,Non-home-based work
Sa,2,2,1,6,302,13732.92,661,76813.52,0.17878258931500599,Non-home-based work
Sa,2,2,1001,6,363,15669.8,661,76813.52,0.2039979420289553,Non-home-based work
Sa,2,2,995,6,128,3145.71,661,76813.52,0.04095255626874019,Non-home-based work
Sa,2,2,4,6,36,624.36,661,76813.52,0.008128256588163124,Non-home-based work
Sa,2,2,2,6,25,1312.53,661,76813.52,0.017087226311201464,Non-home-based work
WF,-1,2,-1,6,8528,348794.42,2871,323011.62,1.079820038672293,Non-home-based work
WF,-1,2,5,6,179,9072.01,2871,323011.62,0.02808570787639157,Non-home-based work
WF,-1,2,3,6,6740,283977.84,2871,323011.62,0.8791567312655811,Non-home-based work
WF,-1,2,1,6,1040,44994.2,2871,323011.62,0.13929591758959012,Non-home-based work
WF,-1,2,1001,6,1192,49808.29,2871,323011.62,0.15419968482867583,Non-home-based work
WF,-1,2,995,6,417,5936.28,2871,323011.62,0.018377914701644477,Non-home-based work
WF,-1,2,4,6,88,1308.99,2871,323011.62,0.004052454831191522,Non-home-based work
WF,-1,2,2,6,64,3505.09,2871,323011.62,0.010851281449255604,Non-home-based work
WF,2,-1,-1,6,9612,376143.73,2254,237328.64,1.5849066088273205,Non-home-based work
WF,2,-1,5,6,201,9930.15,2254,237328.64,0.041841347087313185,Non-home-based work
WF,2,-1,1,6,1148,36323.58,2254,237328.64,0.15305181877753987,Non-home-based work
WF,2,-1,1001,6,1381,43982.5,2254,237328.64,0.18532318728999583,Non-home-based work
WF,2,-1,3,6,7652,314984.58,2254,237328.64,1.3272084650213307,Non-home-based work
WF,2,-1,4,6,142,2984.09,2254,237328.64,0.01257366156903777,Non-home-based work
WF,2,-1,995,6,378,7246.51,2254,237328.64,0.03053365156434554,Non-home-based work
WF,2,-1,2,6,91,4674.83,2254,237328.64,0.019697706943418207,Non-home-based work
WF,2,2,-1,6,5807,213146.86,1347,135359.44,1.574673033517278,Non-home-based work
WF,2,2,5,6,116,6205.67,1347,135359.44,0.045845860473418036,Non-home-based work
WF,2,2,3,6,4661,175597.51,1347,135359.44,1.2972682954362105,Non-home-based work
WF,2,2,1,6,677,23718.34,1347,135359.44,0.17522486795158135,Non-home-based work
WF,2,2,1001,6,778,27846.43,1347,135359.44,0.2057221129165428,Non-home-based work
WF,2,2,995,6,252,3497.25,1347,135359.44,0.025836764691106878,Non-home-based work
WF,2,2,4,6,54,721.91,1347,135359.44,0.0053332815206682295,Non-home-based work
WF,2,2,2,6,47,3406.18,1347,135359.44,0.025163963444293207,Non-home-based work
TT,-1,2,-1,6,12920,525750.54,4401,441010.53,1.19214962962449,Non-home-based work
TT,-1,2,5,6,309,20257.92,4401,441010.53,0.04593522970982121,Non-home-based work
TT,-1,2,3,6,10396,432784.65,4401,441010.53,0.9813476562566431,Non-home-based work
TT,-1,2,1,6,1402,57451.23,4401,441010.53,0.1302717873879338,Non-home-based work
TT,-1,2,1001,6,1598,63251.04,4401,441010.53,0.1434229699685402,Non-home-based work
TT,-1,2,4,6,117,1995.87,4401,441010.53,0.004525674250907342,Non-home-based work
TT,-1,2,995,6,617,9456.94,4401,441010.53,0.021443796364680908,Non-home-based work
TT,-1,2,2,6,79,3803.94,4401,441010.53,0.008625508329699065,Non-home-based work
TT,2,-1,-1,6,14713,564230.43,3601,338730.63,1.6657201328382971,Non-home-based work
TT,2,-1,5,6,283,11859.36,3601,338730.63,0.03501118277966182,Non-home-based work
TT,2,-1,3,6,11831,484993.26,3601,338730.63,1.4317962919385236,Non-home-based work
TT,2,-1,1,6,1645,48499.05,3601,338730.63,0.14317881438711344,Non-home-based work
TT,2,-1,1001,6,1950,57484.66,3601,338730.63,0.16970611721768417,Non-home-based work
TT,2,-1,4,6,169,3350.9,3601,338730.63,0.009892521381960645,Non-home-based work
TT,2,-1,995,6,649,9893.15,3601,338730.63,0.029206540902427393,Non-home-based work
TT,2,-1,2,6,136,5634.71,3601,338730.63,0.016634781448610064,Non-home-based work
TT,2,2,-1,6,8594,307214.75,1991,180266.44,1.7042259779468658,Non-home-based work
TT,2,2,5,6,169,8001.34,1991,180266.44,0.044386187467839275,Non-home-based work
TT,2,2,3,6,6988,259036.16,1991,180266.44,1.4369627535774268,Non-home-based work
TT,2,2,1,6,927,30064.93,1991,180266.44,0.16678051666189225,Non-home-based work
TT,2,2,1001,6,1049,34526.84,1991,180266.44,0.191532267459212,Non-home-based work
TT,2,2,4,6,64,831.29,1991,180266.44,0.004611451804340286,Non-home-based work
TT,2,2,995,6,388,5650.41,1991,180266.44,0.031344769442387614,Non-home-based work
TT,2,2,2,6,58,3630.62,1991,180266.44,0.0201402989929795,Non-home-based work
Da,2,-1,-1,6,1163,30488.9,293,26299.26,1.1593063835256203,Non-home-based work
Da,2,-1,3,6,979,25179.5,293,26299.26,0.9574223761429029,Non-home-based work
Da,2,-1,5,6,19,2188.51,293,26299.26,0.08321564941370975,Non-home-based work
Da,2,-1,1,6,90,669.69,293,26299.26,0.02546421458246354,Non-home-based work
Da,2,-1,1001,6,113,2779.96,293,26299.26,0.10570487534630253,Non-home-based work
Da,2,-1,2,6,13,2046.81,293,26299.26,0.07782766511301079,Non-home-based work
Da,2,-1,995,6,52,340.92,293,26299.26,0.012963102383869357,Non-home-based work
Da,2,-1,4,6,10,63.45,293,26299.26,0.002412615411992581,Non-home-based work
Da,2,3,-1,6,239,10258.95,64,9020.85,1.137248707161742,Non-home-based work
Da,2,3,5,6,8,2182.65,64,9020.85,0.24195613495402318,Non-home-based work
Da,2,3,3,6,197,7736.74,64,9020.85,0.8576508865572534,Non-home-based work
Da,2,3,995,6,17,251.8,64,9020.85,0.02791311240071612,Non-home-based work
Da,2,3,2,6,2,49.15,64,9020.85,0.005448488778773618,Non-home-based work
Da,2,3,1001,6,17,87.76,64,9020.85,0.009728573249749193,Non-home-based work
Da,2,3,1,6,14,38.61,64,9020.85,0.004280084470975573,Non-home-based work
Da,2,3,4,6,1,0.0,64,9020.85,0.0,Non-home-based work
WF,2,3,-1,6,1535,87678.8,389,58207.87,1.506304903443469,Non-home-based work
WF,2,3,1,6,117,7916.14,389,58207.87,0.13599776112749015,Non-home-based work
WF,2,3,1001,6,133,9801.65,389,58207.87,0.16839045991547189,Non-home-based work
