groupSampleSegment,groupNumWorkers,groupNumVehicles,groupModeTypeBroad,trip_type,numTripRecords,sumTripWeight,numHhRecords,sumHhWeight,tripsPerHh,tripTypeLabel
Da,-1,-1,-1,6,2326,108307.51,862,114449.46,0.9463348276173604,Non-home-based work
Da,-1,-1,5,6,107,4950.3,862,114449.46,0.043253152963762344,Non-home-based work
Da,-1,-1,1,6,219,9956.28,862,114449.46,0.08699280887825946,Non-home-based work
Da,-1,-1,1001,6,271,12146.25,862,114449.46,0.10612763048423295,Non-home-based work
Da,-1,-1,3,6,1839,89050.14,862,114449.46,0.7780739201390727,Non-home-based work
Da,-1,-1,995,6,109,2160.82,862,114449.46,0.0188801240302925,Non-home-based work
Da,-1,-1,2,6,16,2071.86,862,114449.46,0.018102837706704775,Non-home-based work
Da,-1,-1,4,6,36,118.1,862,114449.46,0.0010318965244571709,Non-home-based work
Da,-1,3,-1,6,670,43351.36,153,26040.23,1.6647840668073977,Non-home-based work
Da,-1,3,5,6,82,3160.41,153,26040.23,0.12136643954373674,Non-home-based work
Da,-1,3,1,6,55,3214.37,153,26040.23,0.1234386178616702,Non-home-based work
Da,-1,3,1001,6,76,3263.52,153,26040.23,0.12532608198929118,Non-home-based work
Da,-1,3,3,6,469,35918.01,153,26040.23,1.3793276787493813,Non-home-based work
Da,-1,3,995,6,43,1009.41,153,26040.23,0.03876348250380277,Non-home-based work
Da,-1,3,4,6,19,0.0,153,26040.23,0.0,Non-home-based work
Da,-1,3,2,6,2,49.15,153,26040.23,0.0018874641276209925,Non-home-based work
Da,3,-1,-1,6,384,32794.74,55,12209.24,2.686059083120653,Non-home-based work
Da,3,-1,5,6,74,977.76,55,12209.24,0.08008360880775543,Non-home-based work
Da,3,-1,1,6,20,3264.32,55,12209.24,0.2673647172141755,Non-home-based work
Da,3,-1,1001,6,22,3264.32,55,12209.24,0.2673647172141755,Non-home-based work
Da,3,-1,3,6,277,27795.04,55,12209.24,2.2765577546186333,Non-home-based work
Da,3,-1,995,6,11,757.62,55,12209.24,0.062053002480088854,Non-home-based work
Da,3,-1,4,6,2,0.0,55,12209.24,0.0,Non-home-based work
Da,3,3,-1,6,235,23171.61,25,7478.81,3.098301735169098,Non-home-based work
Da,3,3,5,6,74,977.76,25,7478.81,0.13073737666821325,Non-home-based work
Da,3,3,1,6,15,1924.13,25,7478.81,0.25727756153719644,Non-home-based work
Da,3,3,1001,6,17,1924.13,25,7478.81,0.25727756153719644,Non-home-based work
Da,3,3,3,6,133,19512.1,25,7478.81,2.608984584445921,Non-home-based work
Da,3,3,995,6,11,757.62,25,7478.81,0.10130221251776686,Non-home-based work
Da,3,3,4,6,2,0.0,25,7478.81,0.0,Non-home-based work
WF,-1,-1,-1,6,19590,925526.43,6836,799651.08,1.1574128431115231,Non-home-based work
WF,-1,-1,5,6,466,19814.33,6836,799651.08,0.024778719738614,Non-home-based work
WF,-1,-1,3,6,15334,780345.89,6836,799651.08,0.9758579829592677,Non-home-based work
WF,-1,-1,1,6,2413,92039.49,6836,799651.08,0.11509956317447856,Non-home-based work
WF,-1,-1,1001,6,2902,104988.32,6836,799651.08,0.13129266329509617,Non-home-based work
WF,-1,-1,4,6,333,6986.18,6836,799651.08,0.008736535439932127,Non-home-based work
WF,-1,-1,995,6,888,20377.9,6836,799651.08,0.02548348962399951,Non-home-based work
WF,-1,-1,2,6,156,5962.65,6836,799651.08,0.007456564680685481,Non-home-based work
WF,-1,3,-1,6,3146,220844.47,906,139950.11,1.5780228397105227,Non-home-based work
WF,-1,3,5,6,108,4703.52,906,139950.11,0.033608548074738925,Non-home-based work
WF,-1,3,1,6,237,14026.42,906,139950.11,0.10022442997722547,Non-home-based work
WF,-1,3,1001,6,289,16058.73,906,139950.11,0.11474610487980325,Non-home-based work
WF,-1,3,3,6,2579,195394.25,906,139950.11,1.39617074970502,Non-home-based work
WF,-1,3,995,6,170,4687.97,906,139950.11,0.033497437050960525,Non-home-based work
WF,-1,3,4,6,46,1972.53,906,139950.11,0.014094522683833547,Non-home-based work
WF,-1,3,2,6,6,59.78,906,139950.11,0.00042715221874423684,Non-home-based work
WF,3,-1,-1,6,1978,168915.37,409,80133.28,2.107930313098378,Non-home-based work
WF,3,-1,5,6,86,1177.83,409,80133.28,0.014698387486447577,Non-home-based work
WF,3,-1,3,6,1602,153644.5,409,80133.28,1.9173619250328953,Non-home-based work
WF,3,-1,1,6,174,9984.87,409,80133.28,0.12460328592564789,Non-home-based work
WF,3,-1,1001,6,217,10567.32,409,80133.28,0.1318718015785701,Non-home-based work
WF,3,-1,995,6,73,3525.72,409,80133.28,0.04399819900046522,Non-home-based work
WF,3,-1,4,6,31,537.8,409,80133.28,0.0067113189426415585,Non-home-based work
WF,3,-1,2,6,12,44.64,409,80133.28,0.000557071918184305,Non-home-based work
WF,3,3,-1,6,923,96753.17,159,36155.2,2.6760513010576625,Non-home-based work
WF,3,3,5,6,75,977.76,159,36155.2,0.027043412842412712,Non-home-based work
WF,3,3,1,6,41,4250.98,159,36155.2,0.11757589503031375,Non-home-based work
WF,3,3,1001,6,45,4261.62,159,36155.2,0.11787018188255079,Non-home-based work
WF,3,3,3,6,762,90002.6,159,36155.2,2.4893403991680314,Non-home-based work
WF,3,3,995,6,41,1511.2,159,36155.2,0.04179758375005532,Non-home-based work
WF,3,3,4,6,3,0.0,159,36155.2,0.0,Non-home-based work
WF,3,3,2,6,1,10.63,159,36155.2,0.00029401026684958186,Non-home-based work
TT,-1,-1,-1,6,29446,1364461.59,11183,1137207.98,1.1998346951452101,Non-home-based work
TT,-1,-1,5,6,753,34815.35,11183,1137207.98,0.030614760547142836,Non-home-based work
TT,-1,-1,3,6,23261,1159704.06,11183,1137207.98,1.0197818520408202,Non-home-based work
TT,-1,-1,1,6,3434,125685.63,11183,1137207.98,0.11052123464698164,Non-home-based work
